Line Number,Action,Status,ErrorCode,ErrorMessage,WarningCode,WarningMessage,Code,Message,ItemID,ReferenceID,ApplicationData,StartTime,EndTime,AuctionLengthFee,BoldFee,BorderFee,BuyItNowFee,CategoryFeaturedFee,CurrencyID,FeaturedFee,FeaturedGalleryFee,FixedPriceDurationFee,GalleryFee,GiftIconFee,HighlightFee,InsertionFee,InternationalInsertionFee,ListingDesignerFee,ListingFee,PhotoDisplayFee,PhotoFee,ProPackBundleFee,ReserveFee,SchedulingFee,SubtitleFee,CustomLabel,PrivateNotes,BasicUpgradePackBundleFee,ValuePackBundleFee,ProPackPlusBundleFee,SellerInventoryID,CrossBorderTradeNorthAmericaFee,CrossBorderTradeGBFee,RefundFromSeller,TotalRefundToBuyer,CorrelationID
660,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420736,,,2026-04-25T23:17:02.000Z,2026-08-25T23:17:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897400,,,2026-04-25T14:41:55.000Z,2026-08-25T14:41:55.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897137,,,2026-04-25T14:41:50.000Z,2026-08-25T14:41:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306902420732,,,2026-04-25T23:17:02.000Z,2026-08-25T23:17:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897285,,,2026-04-25T14:41:53.000Z,2026-08-25T14:41:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897336,,,2026-04-25T14:41:54.000Z,2026-08-25T14:41:54.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897131,,,2026-04-25T14:41:50.000Z,2026-08-25T14:41:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897118,,,2026-04-25T14:41:49.000Z,2026-08-25T14:41:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897127,,,2026-04-25T14:41:50.000Z,2026-08-25T14:41:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897128,,,2026-04-25T14:41:50.000Z,2026-08-25T14:41:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Revise,Warning,,,21919456,"Warning - Seller has opted into business policies. Please use policy IDs rather than legacy fields for Shipping, Payments or Returns or new policies may be automatically created seller's behalf.|",,,306901897105,,,2026-04-25T14:41:49.000Z,2026-08-25T14:41:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
